,Activity date,Activity time,Activity name,Duration type,Duration hit count,Cycle duration (sec),Activity duration (sec),Light logic,Station number,Cycle number,Player number,Player name,Avg reaction time (ms),Total hits,Total miss hits,Total strikes,Repetitions,Lights out,Visual cue #1 (ms),Color #1,Visual cue #2 (ms),Color #2,Visual cue #3 (ms),Color #3,Visual cue #4 (ms),Color #4,Visual cue #5 (ms),Color #5,Visual cue #6 (ms),Color #6,Visual cue #7 (ms),Color #7,Visual cue #8 (ms),Color #8,Visual cue #9 (ms),Color #9,Visual cue #10 (ms),Color #10,Visual cue #11 (ms),Color #11,Visual cue #12 (ms),Color #12,Visual cue #13 (ms),Color #13,Levels,Steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-09-21,11:49:30,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1065,13,0,0,1,Hit,301,Red,1949,Red,591,Red,976,Red,970,Red,2161,Red,995,Red,1009,Red,1016,Red,997,Red,1624,Red,601,Red,665,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-09-21,11:49:06,LA ZONE TEST,once,,,15,Sequence,1,1,1,AOD23,1048,13,0,0,1,Hit,524,Red,2113,Red,538,Red,654,Red,442,Red,1236,Red,3464,Red,900,Red,789,Red,539,Red,1260,Red,461,Red,704,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-09-21,11:48:35,LA ZONE TEST,once,,,17,Sequence,1,1,1,AOD23,1218,13,0,0,1,Hit,540,Red,2781,Red,967,Red,1063,Red,694,Red,1031,Red,1704,Red,921,Red,1845,Red,1284,Red,1583,Red,682,Red,742,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-09-21,11:38:35,LA ZONE TEST,once,,,16,Sequence,1,1,1,AOD23,1147,13,0,0,1,Hit,615,Red,2407,Red,834,Red,1223,Red,752,Red,1633,Red,907,Red,784,Red,813,Red,1608,Red,1507,Red,587,Red,1247,Red,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2024-09-21,11:37:47,LA ZONE TEST,once,,,30,Sequence,1,1,1,AOD23,2217,13,0,0,1,Hit,828,Red,3713,Red,992,Red,825,Red,1811,Red,2300,Red,1604,Red,785,Red,1749,Red,780,Red,2210,Red,9874,Red,1353,Red,,
